,T,A,G,E,Date,Time,Substrate,E_pump,n,PLQY
0,280,10,100,304,2022-Oct-24,18:04:37,Glass,2.48169938944e-09,2.7026421227540348e+16,5.3893743515145577e-14
0,280,50,100,66,2022-Oct-24,18:01:46,Glass,5.121580926400001e-10,5577549160740898.0,1.4096592008501634e-14
0,220,80,100,76,2022-Oct-24,15:05:14,Glass,5.394334182400001e-10,5874585313435547.0,1.6763054306037874e-14
0,280,1,100,640,2022-Oct-24,18:08:59,Glass,1.3124838400000001e-08,1.4293327090749674e+17,9.295945144861411e-14
0,260,1,20,784,2022-Oct-24,17:26:51,Glass,2.1598840176640002e-08,2.3521759126995494e+17,2.0003836822463047e-13
0,220,80,100,77,2022-Oct-24,15:29:09,Glass,5.4234178959e-10,5906258315220404.0,1.9842410443497565e-14
0,100,60,100,45,2022-Oct-24,11:27:25,Glass,4.6480399375e-10,5061849383041178.0,2.4495766992759322e-14
0,180,3,100,304,2022-Oct-24,14:19:59,Glass,2.48169938944e-09,2.7026421227540348e+16,1.0090518044196754e-13
0,180,1,100,380,2022-Oct-24,13:57:29,Glass,3.9215664e-09,4.270698773959279e+16,1.6914350481593698e-13
0,260,3,100,400,2022-Oct-24,17:31:55,Glass,4.384000000000001e-09,4.774302285188256e+16,7.130964397994453e-14
0,260,10,100,312,2022-Oct-24,17:11:05,Glass,2.6108465766400002e-09,2.843287129819408e+16,4.790662833004988e-14
0,220,8,100,296,2022-Oct-24,15:26:57,Glass,2.3575358054399996e-09,2.5674244031307764e+16,6.215650059184197e-14
0,220,1,4,944,2022-Oct-24,15:16:27,Glass,3.418114965504e-08,3.722425659407372e+17,3.446367403194371e-13
0,280,30,100,166,2022-Oct-24,18:29:57,Glass,9.618265086400002e-10,1.0474567742140952e+16,2.946810379122738e-14
0,260,80,100,78,2022-Oct-24,17:08:11,Glass,5.4528392944e-10,5938299065697589.0,2.056424563568569e-14
0,260,1,2,1400,2022-Oct-24,17:20:41,Glass,8.882399999999998e-08,9.673189465774668e+17,2.167197286867589e-13
0,280,1,1,1740,2022-Oct-24,18:19:04,Glass,1.4541814239999998e-07,1.5836454597813663e+18,1.9372676521419544e-13
0,280,1,100,544,2022-Oct-24,18:26:08,Glass,8.875274199040002e-09,9.665429263263925e+16,7.294920307086758e-14
0,260,1,2,1500,2022-Oct-24,17:22:40,Glass,1.0427500000000003e-07,1.1355847873813993e+18,2.483595886807556e-13
0,220,3,100,376,2022-Oct-24,15:10:39,Glass,3.8334313062399996e-09,4.174717118041475e+16,1.0467026815584855e-13
0,220,1,20,820,2022-Oct-24,15:14:41,Glass,2.4132702399999996e-08,2.6281208078487242e+17,1.9625776005994483e-13
0,180,1,30,672,2022-Oct-24,14:14:45,Glass,1.4783968829440002e-08,1.6100167921201488e+17,2.358175038662037e-13
0,220,1,100,560,2022-Oct-24,15:12:36,Glass,9.509990400000002e-09,1.0356653489698533e+17,1.189858297343335e-13
0,260,1,50,680,2022-Oct-24,17:15:28,Glass,1.52183424e-08,1.6573213252075117e+17,1.2888121470399404e-13
0,180,60,100,53,2022-Oct-24,13:51:03,Glass,4.8134817519e-10,5242020284627768.0,2.6593797708582432e-14
0,180,40,100,93,2022-Oct-24,14:22:13,Glass,5.936182279900001e-10,6464673500050320.0,2.9954456267991833e-14
0,180,1,100,448,2022-Oct-24,14:17:38,Glass,5.647426723840002e-09,6.150210381629229e+16,1.5361959656446605e-13
0,220,1,40,648,2022-Oct-24,15:22:24,Glass,1.3527949987840001e-08,1.4732327221910797e+17,1.5318242775592162e-13
0,280,1,10,1290,2022-Oct-24,18:13:52,Glass,7.317807190000001e-08,7.969302826136872e+17,1.6506930157846475e-13
0,180,1,30,556,2022-Oct-24,14:04:59,Glass,9.348621975040002e-09,1.0180918626549869e+17,2.236251732198751e-13
0,180,1,1,1320,2022-Oct-24,14:12:04,Glass,7.729834240000001e-08,8.418012152408398e+17,6.546002667588996e-13
0,260,1,20,920,2022-Oct-24,17:17:14,Glass,3.2074790399999994e-08,3.493037068970216e+17,1.7915746054138647e-13
0,280,5,100,440,2022-Oct-24,18:06:32,Glass,5.4213504e-09,5.9040067526291656e+16,6.789063117491887e-14
0,280,1,50,760,2022-Oct-24,18:22:59,Glass,2.0003622400000004e-08,2.1784521016506154e+17,1.284453201417288e-13
0,220,2,100,444,2022-Oct-24,15:24:11,Glass,5.53359733504e-09,6.026246898264851e+16,8.256972176918336e-14
0,280,5,100,392,2022-Oct-24,18:27:46,Glass,4.194637271040001e-09,4.5680808185816856e+16,5.371380685213319e-14
0,260,1,10,1070,2022-Oct-24,17:24:22,Glass,4.6522959900000005e-08,5.06648434681322e+17,2.1115336874133787e-13
0,260,30,100,172,2022-Oct-24,17:34:26,Glass,1.00345778944e-09,1.0927944382329714e+16,3.516127671301316e-14
0,220,1,1,1480,2022-Oct-24,15:18:49,Glass,1.0109635840000002e-07,1.100968464720189e+18,3.4272887254612706e-13
0,220,30,100,168,2022-Oct-24,15:07:57,Glass,9.7549133824e-10,1.0623381672765924e+16,2.80046383077666e-14
0,280,1,1,1580,2022-Oct-24,18:17:11,Glass,1.1740355040000001e-07,1.2785584830381716e+18,1.973699178148165e-13
0,260,1,100,532,2022-Oct-24,17:29:00,Glass,8.41791687424e-09,9.167353961954562e+16,9.14683436119154e-14
0,220,1,20,960,2022-Oct-24,15:21:02,Glass,3.5628774399999995e-08,3.88007616415093e+17,2.1375926944431417e-13
0,280,1,8,1520,2022-Oct-24,18:15:36,Glass,1.0749603840000002e-07,1.1706628234074007e+18,1.3841488101206825e-13
0,180,4,100,196,2022-Oct-24,13:53:58,Glass,1.1897515494400002e-09,1.2956737092376048e+16,1.2874128895593186e-13
0,280,1,20,1010,2022-Oct-24,18:21:24,Glass,4.03767999e-08,4.3971498182289894e+17,1.6018490140000281e-13
0,260,2,100,436,2022-Oct-24,17:12:52,Glass,5.31067734784e-09,5.783480610786955e+16,8.32785604538863e-14
0,180,1,2,1030,2022-Oct-24,14:07:25,Glass,4.23711919e-08,4.614344852060221e+17,5.512656598663753e-13
0,80,1,100,320,2022-Oct-17,12:50:33,Glass,2.7450624000000004e-09,2.9894520276697896e+16,3.1127468483148583e-13
0,80,1,50,300,2022-Oct-17,12:28:07,Glass,2.4189999999999996e-09,2.6343606815397784e+16,3.5437992815661937e-13
0,80,1,20,400,2022-Oct-17,12:41:39,Glass,4.384000000000001e-09,4.774302285188256e+16,5.695108733271326e-13
0,80,1,20,406,2022-Oct-17,12:40:58,Glass,4.529915571040001e-09,4.9332085452842456e+16,5.667814882916568e-13
0,80,1,20,438,2022-Oct-17,12:40:16,Glass,5.365817676640001e-09,5.843530017218495e+16,3.7045604920591813e-13
0,80,10,100,54,2022-Oct-17,11:40:59,Glass,4.8354152944e-10,5265906544226314.0,1.1185768743302362e-13
0,80,3,100,162,2022-Oct-17,12:25:43,Glass,9.3512564464e-10,1.01837876417493e+16,2.119359628953653e-13
0,80,1,20,532,2022-Oct-17,12:54:38,Glass,8.41791687424e-09,9.167353961954562e+16,5.448171680377522e-13
0,80,8,100,82,2022-Oct-17,12:47:57,Glass,5.5739459824e-10,6070187737520123.0,1.2739091810697226e-13
0,80,4,100,100,2022-Oct-17,11:59:33,Glass,6.19e-10,6741088308694183.0,4.0030186467032375e-13
0,299,80,100,160,2022-Oct-18,17:11:37,Glass,9.220864000000002e-10,1.0041786511544278e+16,1.76060600539447e-14
0,120,1,30,504,2022-Oct-18,13:32:39,Glass,7.41184927744e-09,8.071717368328629e+16,3.454823512368376e-13
0,240,1,100,550,2022-Oct-18,16:53:52,Glass,9.109937500000003e-09,9.920984357703512e+16,1.5361190599554695e-13
0,200,3,100,300,2022-Oct-18,16:25:27,Glass,2.4189999999999996e-09,2.6343606815397784e+16,1.23865945115532e-13
0,240,80,100,100,2022-Oct-18,17:04:07,Glass,6.19e-10,6741088308694183.0,2.2356304284368262e-14
0,160,1,50,400,2022-Oct-18,14:43:31,Glass,4.384000000000001e-09,4.774302285188256e+16,1.9502272227528357e-13
0,160,6,100,160,2022-Oct-18,14:39:33,Glass,9.220864000000002e-10,1.0041786511544278e+16,1.4443529444697686e-13
0,120,3,100,200,2022-Oct-18,14:05:13,Glass,1.2240000000000001e-09,1.3329712584558448e+16,1.7288307783167246e-13
0,299,1,100,650,2022-Oct-18,17:39:17,Glass,1.3629937500000002e-08,1.4843394560497968e+17,6.294339786091809e-14
