,Date,Time,Substrate,T,A,G,E,E_pump,n,PLQY
0,2022-Oct-17,12:40:58,Glass,80,1,20,406,4.529915571040001e-09,4.9332085452842456e+16,5.667814882916568e-13
1,2022-Oct-17,12:28:07,Glass,80,1,50,300,2.4189999999999996e-09,2.6343606815397784e+16,3.5437992815661937e-13
2,2022-Oct-17,12:41:39,Glass,80,1,20,400,4.384000000000001e-09,4.774302285188256e+16,5.695108733271326e-13
3,2022-Oct-17,12:40:16,Glass,80,1,20,438,5.365817676640001e-09,5.843530017218495e+16,3.7045604920591813e-13
4,2022-Oct-17,11:40:59,Glass,80,10,100,54,4.8354152944e-10,5265906544226314.0,1.1185768743302362e-13
5,2022-Oct-17,12:25:43,Glass,80,3,100,162,9.3512564464e-10,1.01837876417493e+16,2.119359628953653e-13
6,2022-Oct-17,12:54:38,Glass,80,1,20,532,8.41791687424e-09,9.167353961954562e+16,5.448171680377522e-13
7,2022-Oct-17,12:47:57,Glass,80,8,100,82,5.5739459824e-10,6070187737520123.0,1.2739091810697226e-13
8,2022-Oct-17,11:59:33,Glass,80,4,100,100,6.19e-10,6741088308694183.0,4.0030186467032375e-13
9,2022-Oct-17,12:50:33,Glass,80,1,100,320,2.7450624000000004e-09,2.9894520276697896e+16,3.1127468483148583e-13
10,2022-Oct-18,13:32:39,Glass,120,1,30,504,7.41184927744e-09,8.071717368328629e+16,3.454823512368376e-13
11,2022-Oct-18,14:05:13,Glass,120,3,100,200,1.2240000000000001e-09,1.3329712584558448e+16,1.7288307783167246e-13
12,2022-Oct-18,13:27:09,Glass,120,1,50,420,4.8835504e-09,5.3183270608010984e+16,2.419656082089496e-13
13,2022-Oct-18,13:43:56,Glass,120,1,10,660,1.4147166400000001e-08,1.5406671731856413e+17,4.0479850089989253e-13
14,2022-Oct-18,13:59:05,Glass,120,2,80,300,2.4189999999999996e-09,2.6343606815397784e+16,2.646129023414347e-13
15,2022-Oct-18,14:10:57,Glass,120,15,100,80,5.512704e-10,6003493454554386.0,8.062916667526484e-14
16,2022-Oct-18,13:46:46,Glass,120,1,20,460,5.998494400000001e-09,6.532533193797662e+16,4.2566171832780473e-13
17,2022-Oct-18,13:18:11,Glass,120,50,100,46,4.6677666544e-10,5083332345991664.0,3.308158973823153e-14
18,2022-Oct-18,13:22:54,Glass,120,4,100,166,9.618265086400002e-10,1.0474567742140952e+16,1.3110868185891048e-13
19,2022-Oct-18,14:30:12,Glass,160,50,100,0,4e-10,4356115223711912.0,3.2072435981336655e-14
20,2022-Oct-18,15:00:42,Glass,160,20,100,100,6.19e-10,6741088308694183.0,6.854020172434362e-14
21,2022-Oct-18,14:43:31,Glass,160,1,50,400,4.384000000000001e-09,4.774302285188256e+16,1.9502272227528357e-13
22,2022-Oct-18,14:39:33,Glass,160,6,100,160,9.220864000000002e-10,1.0041786511544278e+16,1.4443529444697686e-13
23,2022-Oct-18,14:58:05,Glass,160,2,100,300,2.4189999999999996e-09,2.6343606815397784e+16,1.466760033424888e-13
24,2022-Oct-18,14:53:40,Glass,160,1,50,460,5.998494400000001e-09,6.532533193797662e+16,2.605860208034098e-13
25,2022-Oct-18,14:51:21,Glass,160,1,20,600,1.1224e-08,1.2223259317735624e+17,3.883067320913769e-13
26,2022-Oct-18,14:45:59,Glass,160,1,30,550,9.109937500000003e-09,9.920984357703512e+16,2.430994675475479e-13
27,2022-Oct-24,13:51:03,Glass,180,60,100,53,4.8134817519e-10,5242020284627768.0,2.6593797708582432e-14
28,2022-Oct-24,14:04:59,Glass,180,1,30,556,9.348621975040002e-09,1.0180918626549869e+17,2.236251732198751e-13
29,2022-Oct-24,14:12:04,Glass,180,1,1,1320,7.729834240000001e-08,8.418012152408398e+17,6.546002667588996e-13
30,2022-Oct-24,14:17:38,Glass,180,1,100,448,5.647426723840002e-09,6.150210381629229e+16,1.5361959656446605e-13
31,2022-Oct-24,14:07:25,Glass,180,1,2,1030,4.23711919e-08,4.614344852060221e+17,5.512656598663753e-13
32,2022-Oct-24,13:57:29,Glass,180,1,100,380,3.9215664e-09,4.270698773959279e+16,1.6914350481593698e-13
33,2022-Oct-24,13:53:58,Glass,180,4,100,196,1.1897515494400002e-09,1.2956737092376048e+16,1.2874128895593186e-13
34,2022-Oct-24,14:14:45,Glass,180,1,30,672,1.4783968829440002e-08,1.6100167921201488e+17,2.358175038662037e-13
35,2022-Oct-24,14:22:13,Glass,180,40,100,93,5.936182279900001e-10,6464673500050320.0,2.9954456267991833e-14
