,Date,Time,Substrate,T,A,G,E,E_pump,n,PLQY
0,2022-Oct-26,13:58:58,Silicon,80,1,60,660,1.4147166400000001e-08,1.5406671731856413e+17,4.7729117543783976e-14
1,2022-Oct-26,11:25:24,Silicon,80,100,100,112,6.6697560064e-10,7263556419480751.0,7.829638339909335e-15
2,2022-Oct-26,14:22:46,Silicon,80,20,100,200,1.2240000000000001e-09,1.3329712584558448e+16,1.7979435156671648e-14
3,2022-Oct-26,14:00:40,Silicon,80,1,15,1000,3.94e-08,4.290773495356233e+17,7.562318761080415e-14
4,2022-Oct-26,14:03:17,Silicon,80,1,3,2000,1.944e-07,2.1170719987239887e+18,8.830282642288252e-14
5,2022-Oct-26,14:05:56,Silicon,80,1,5,1660,1.311433264e-07,1.4281886015481505e+18,9.954393328103901e-14
6,2022-Oct-26,14:08:11,Silicon,80,1,8,1360,8.29648384e-08,9.035109889675963e+17,7.101677007878014e-14
7,2022-Oct-26,14:20:40,Silicon,80,5,100,412,4.679202864639999e-09,5.095786708373672e+16,3.1739679005414236e-14
8,2022-Oct-26,14:02:12,Silicon,80,1,6,1400,8.882399999999998e-08,9.673189465774668e+17,6.98131605774354e-14
9,2022-Oct-26,14:15:51,Silicon,80,2,100,800,2.2704000000000006e-08,2.4725310009788816e+17,9.680891435659837e-15
10,2022-Oct-26,11:34:02,Silicon,80,30,100,240,1.6205824e-09,1.7648609159798964e+16,1.4861358857511407e-14
11,2022-Oct-26,14:10:30,Silicon,80,1,30,864,2.7462306979839997e-08,2.990724337828272e+17,5.36706416159752e-14
12,2022-Oct-26,11:37:58,Silicon,80,5,100,424,4.98801485824e-09,5.432091865020119e+16,1.718770993248518e-14
13,2022-Oct-26,13:57:15,Silicon,80,3,100,450,5.704937500000001e-09,6.212841273518746e+16,2.685913268475982e-14
14,2022-Oct-26,12:05:55,Silicon,120,1,10,1460,9.796105439999999e-08,1.0668241010067767e+18,4.658485557371119e-14
15,2022-Oct-26,11:56:22,Silicon,120,40,100,324,2.81409735424e-09,3.064633081453069e+16,7.411991743255125e-15
16,2022-Oct-26,11:58:14,Silicon,120,10,100,440,5.4213504e-09,5.9040067526291656e+16,1.0585790487248923e-14
17,2022-Oct-26,12:00:21,Silicon,120,3,100,664,1.4357472931840004e-08,1.5635701603104986e+17,1.542241359707982e-14
18,2022-Oct-26,12:07:37,Silicon,120,1,6,1520,1.0749603840000002e-07,1.1706628234074007e+18,7.899383987271162e-14
19,2022-Oct-26,12:25:14,Silicon,120,5,100,556,9.348621975040002e-09,1.0180918626549869e+17,1.212398643366968e-14
20,2022-Oct-26,12:20:32,Silicon,120,1,40,1000,3.94e-08,4.290773495356233e+17,2.7215061898474506e-14
21,2022-Oct-26,12:17:47,Silicon,120,1,15,1380,8.58706864e-08,9.351565107440783e+17,4.1113665645198616e-14
22,2022-Oct-26,12:15:51,Silicon,120,1,6,1580,1.1740355040000001e-07,1.2785584830381716e+18,4.898036774635659e-14
23,2022-Oct-26,12:26:51,Silicon,120,20,100,400,4.384000000000001e-09,4.774302285188256e+16,9.795868703628305e-15
24,2022-Oct-26,12:04:47,Silicon,120,1,50,1000,3.94e-08,4.290773495356233e+17,2.464214759866447e-14
25,2022-Oct-26,12:22:53,Silicon,120,2,100,672,1.4783968829440002e-08,1.6100167921201488e+17,1.4925154823670173e-14
26,2022-Oct-26,14:33:00,Silicon,160,40,100,300,2.4189999999999996e-09,2.6343606815397784e+16,1.0369118444524024e-14
27,2022-Oct-26,14:36:41,Silicon,160,2,100,680,1.52183424e-08,1.6573213252075117e+17,1.833463829890746e-14
28,2022-Oct-26,14:34:52,Silicon,160,8,100,440,5.4213504e-09,5.9040067526291656e+16,1.2504158717363786e-14
29,2022-Oct-26,14:38:17,Silicon,160,1,50,1000,3.94e-08,4.290773495356233e+17,3.3539209270413124e-14
30,2022-Oct-26,14:51:11,Silicon,160,6,100,520,7.976358400000002e-09,8.686484064005597e+16,1.5489006639657837e-14
31,2022-Oct-26,14:44:16,Silicon,160,1,15,1500,1.0427500000000003e-07,1.1355847873813993e+18,4.765389478932965e-14
32,2022-Oct-26,14:55:27,Silicon,160,50,100,200,1.2240000000000001e-09,1.3329712584558448e+16,1.0278621211251364e-14
33,2022-Oct-26,14:40:38,Silicon,160,1,10,1660,1.311433264e-07,1.4281886015481505e+18,4.4157000805973925e-14
34,2022-Oct-26,14:53:19,Silicon,160,15,100,400,4.384000000000001e-09,4.774302285188256e+16,1.1492780396976537e-14
35,2022-Oct-26,14:39:33,Silicon,160,1,15,1400,8.882399999999998e-08,9.673189465774668e+17,4.2974629827193896e-14
36,2022-Oct-26,14:42:19,Silicon,160,1,8,2040,2.0213021440000007e-07,2.2012562602999823e+18,5.4351173320639236e-14
37,2022-Oct-26,14:29:25,Silicon,160,100,100,148,8.481058278399999e-10,9236116769931542.0,8.040944905434564e-15
38,2022-Oct-26,14:47:43,Silicon,160,1,30,1200,6.150399999999999e-08,6.697962767979433e+17,3.037481895089328e-14
